TimeGroup,VpnName,SrcProbeName,SrcProbeIp,DestIp,DestName,TestId,TestName,AlarmPolicyName,ScenarioName,DelayAverage,JitterAverage,PacketLossAverage,ReorderingRatio,MetricSampleCount,JitterAlarmThreshold,PacketLossAlarmThreshold,DelayAlarmThreshold,AVAILABILITY
20250624T110010,Vodafone,Esenyurt,10.145.125.38,10.62.193.130,SR34_0D200_YBSATATURK2_AVEA,4539,Esenyurt.eno2(10.145.125.38) <--> SR34_0D200_YBSATATURK2_AVEA(10.62.193.130) @ Twamp,Twamp-test,Twamp_300byte_per_200ms,1.663,0.070,0.000,0.000,1,4.000,0.500,15.000,Y
20250624T110010,Vodafone,Esenyurt,10.145.125.38,10.62.194.166,SR34_K4365_DAVUTPASATEKNOPARK,4619,Esenyurt.eno2(10.145.125.38) <--> SR34_K4365_DAVUTPASATEKNOPARK(10.62.194.166) @ Twamp,Twamp-test,Twamp_300byte_per_200ms,1.418,0.043,0.000,0.000,1,4.000,0.500,15.000,Y
20250624T110030,Vodafone,Esenyurt,10.145.125.38,10.62.197.129,GL34_0A865_MALKOCOGLU3_JP,4927,Esenyurt.eno2(10.145.125.38) <--> GL34_0A865_MALKOCOGLU3_JP(10.62.197.129) @ Twamp,Twamp-test,Twamp_300byte_per_200ms,1.638,0.033,0.000,0.000,1,4.000,0.500,15.000,Y
20250624T110011,Vodafone,Esenyurt,10.145.125.38,10.62.196.17,GL34_00789_ESENYURT_TEM_II_JP_SH_AVEA,4928,Esenyurt.eno2(10.145.125.38) <--> GL34_00789_ESENYURT_TEM_II_JP_SH_AVEA(10.62.196.17) @ Twamp,Twamp-test,Twamp_300byte_per_200ms,0.994,0.054,0.000,0.000,1,4.000,0.500,15.000,Y
