NE Report
Save Time: 06/25/2025 00:01:06
User Name:admin


Total 15051 Records

"NE Name,""NE Type"",""NE IP Address"",""NE MAC Address"",""NE ID"",""Software Version"",""Physical Location"",""Create Time"",""Fiber/Cable Count"",""Running Status"",""Subnet"",""Subnet Path"",""Alias"",""Remarks"",""Patch Version List"",""Customized Column"",""LSR ID"",""Maintenance Status"",""Gateway Type"",""Gateway"",""Optical NE"",""Subrack Type"",""Conference Call"",""Orderwire Phone"",""NE Subtype"""
"M2558-RTN4523917_ORDU_OCELI,""OptiX RTN 905"",""10.210.97.167"",""48-46-FB-9C-A2-2F"","" 17-3917"",""V100R020C10SPC500"",""-"",""03/02/2016 17:10:03"",""1"",""Normal"",""ORDU_TOKI"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Ordu/ORDU_TOKI"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""B5806-RTN4523879_ORDU_TOKI"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"B5799-RTN4524189_FATSA_IRMAK,""OptiX RTN 950"",""10.210.98.187"",""28-6E-D4-9A-6F-56"","" 17-4189"",""V100R020C10SPC500"",""-"",""09/08/2015 14:31:43"",""4"",""Normal"",""FATSA_KURTULUS"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Ordu/FATSA_KURTULUS"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""A5788-RTN4524131_FATSA_KURTULUS"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950"""
"T-CUS0873-RTN2323911_CUSTOMER_VEGEVITAL_CAKIR_EGITIM_KURUMLARI,""OptiX RTN 905"",""10.209.119.2"",""60-DE-F3-48-D9-98"","" 14-3911"",""V100R023C10SPC200"",""-"",""10/02/2018 16:42:29"",""1"",""Normal"",""A2615-RTN821-DIKILI_KABAKUM"",""ROOT/RTN_SUBNET/EGE(IZMIR)/IZMIR/IZMIR_KUZEY/A2615-RTN821-DIKILI_KABAKUM"",""-"",""-"",""-"",""-"",""-"",""active"",""Non-gateway"",""A2615-RTN232821_DIKILI_KABAKUM"",""-"",""Subrack Type V"",""-"",""-"",""OptiX RTN 905"""
"A5968-RTN3620390_ALACAM_YENICAMI,""OptiX RTN 905"",""10.210.107.140"",""48-46-FB-9C-43-56"","" 17-390"",""V100R020C10SPC500"",""-"",""01/06/2016 13:27:37"",""0"",""Offline"",""BAFRA"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Samsun/BAFRA"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""B5937-RTN3620379_BAFRA_SUDEPOSU"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"K5642-RTN3620407_YAKAKENT_SAHIL,""OptiX RTN 905"",""10.210.107.157"",""48-46-FB-F5-D3-AA"","" 17-407"",""V100R020C10SPC500"",""-"",""05/21/2014 23:44:10"",""1"",""Normal"",""BAFRA"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Samsun/BAFRA"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""B5937-RTN3620379_BAFRA_SUDEPOSU"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"A4083-RTN3648795_UGURLUDAG_KIRKOY,""OptiX RTN 980"",""10.210.90.43"",""E4-35-C8-82-FB-EA"","" 17-8795"",""V100R020C10SPC500"",""-"",""03/02/2016 18:38:49"",""7"",""Normal"",""SUNGURLU"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Corum/SUNGURLU"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""4073-RTN3648753_MANASTIR_BELEDIYE"",""-"",""Subrack"",""-"",""-"",""OptiX RTN 980"""
"2417-RTN2321157_BELEVI,""OptiX RTN 950A"",""10.209.120.2"",""48-46-FB-95-D8-82"","" 14-1157"",""V100R020C10SPC500"",""-"",""04/03/2015 16:41:42"",""5"",""Normal"",""2649-RTN1185-TORBALI_III"",""ROOT/RTN_SUBNET/EGE(IZMIR)/IZMIR/IZMIR_GUNEY/2649-RTN1185-TORBALI_III"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""2649-RTN2321185_TORBALI_3"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950A"""
"M7826-RTN2742755_UNSA_DERELI_SMALL,""OptiX RTN 320"",""10.209.64.3"",""9C-E3-74-7A-3E-18"","" 13-2755"",""V100R023C10SPC200"",""-"",""01/02/2020 11:01:44"",""1"",""Normal"",""A5389-RTN2742591_GEDIZ_SANAYI"",""ROOT/RTN_SUBNET/GUNEY MARMARA(BURSA)/KUTAHYA/5362-RTN2742560_KUTAHYA_KAVSAK/A5389-RTN2742591_GEDIZ_SANAYI"",""-"",""-"",""-"",""-"",""-"",""active"",""Non-gateway"",""A5389-RTN2742591_GEDIZ_SANAYI"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 320"""
"4156-RTN2582134_AKHAN,""OptiX RTN 910"",""10.174.136.102"",""28-6E-D4-F2-39-E1"","" 14-2134"",""V100R006C10SPC610"",""-"",""12/18/2010 16:29:36"",""1"",""Normal"",""A4168-RTN2133-KARSIYAKA_TV"",""ROOT/RTN_SUBNET/EGE(IZMIR)/DENIZLI/KARSIYAKA _TV/A4168-RTN2133-KARSIYAKA_TV"",""-"",""-"",""SPH611"",""-"",""-"",""active"",""Non-gateway"",""A4168-RTN2582133_KARSIYAKA_TV"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 910"""
"A4168-RTN2582133_KARSIYAKA_TV,""OptiX RTN 980"",""10.174.210.77"",""A4-DC-BE-F2-C8-96"","" 14-2133"",""V100R020C10SPC500"",""-"",""12/18/2010 16:14:22"",""10"",""Normal"",""A4168-RTN2133-KARSIYAKA_TV"",""ROOT/RTN_SUBNET/EGE(IZMIR)/DENIZLI/KARSIYAKA _TV/A4168-RTN2133-KARSIYAKA_TV"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Gateway"",""A4168-RTN2582133_KARSIYAKA_TV"",""-"",""Subrack"",""-"",""-"",""OptiX RTN 980"""
