Result Time,Granularity Period,Object Name,Reliability,"50332578","50332579","50332580","50332581","50332673","50332674","50332675","50332676","50332677","50332678","50332679","50332680","50332681","50332682","50332683","50332684","50332685","50332686","50332687","50332688","50332689","50332690","50332691","50332692","50332693","50332694","50332695","50332696","50332697","50332698","50332699","50332700","50332701","50332702","50332703","50332704","50332705","50332706","50332707","50332708","50332709","50332710","50332711","50332712","50332713","50332714","50332715","50332716","50332717","50332718","50332719","50332720","50332721","50332722","50332723","50332724","50332725","50332726","50332727","50332728","50332729","50332730","50332731","50332732","50332733","50332734","50332735","50332736","50332737","50332738","50332739","50332740","50332741","50332742","50332743","50332744","50332745","50332746","50332747","50332748","50332749","50332750","50332751","50332752","50332753","50332754","50332755","50332756","50332757","50332758","50332759","50332760","50332761","50332762","50332763","50332764","50332765","50332766","50332767","50332768","50332769","50332770","50342578","50342579","50342580","50342581"
,Minutes,,,None,None,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,None,None,None,None,None,None,None,None,None,None,None,ms,ms,ms,ms,ms,ms,s,s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,None,None,None,None,None,None,None,None,None,None,None,ms,ms,ms,ms,ms,ms,s,s,None,None,None,None
2025-06-24 03:00,60,"GLLF_LF054_ISLAM_CEMIYETI/NodeBFunction:NodeB Function Name=NLF01_39767_LF054_ISLAM_CEMIYETI",Reliable,1.037,0.062,0.141,10.765,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,0.6,4,49
2025-06-24 03:00,60,"GLLF_LF056_KARABABA/NodeBFunction:NodeB Function Name=NLF01_39769_LF056_KARABABA",Reliable,1.074,0.117,0.151,7.295,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.8,1.4,18.4
2025-06-24 03:00,60,"GLLF_LF060_KIRKLAR_ASKERIYE/NodeBFunction:NodeB Function Name=NLF01_39773_LF060_KIRKLAR_ASKERIYE",Reliable,0.154,0.019,0.257,2.688,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.4,2.2,20.2
2025-06-24 03:00,60,"GLLF_LF113_YILMAZKOY/NodeBFunction:NodeB Function Name=NLF01_39826_LF113_YILMAZKOY",Reliable,0.463,0.034,0.106,4.048,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.6,1.4,13.4
2025-06-24 03:00,60,"GLLF_LF111_YENISEHIR_PGM/NodeBFunction:NodeB Function Name=NLF01_39824_LF111_YENISEHIR_PGM",Reliable,0.24,0.025,0.019,2.493,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.4,0.8,7.6
2025-06-24 03:00,60,"GLLF_LF076_METROPOLE_NEW/NodeBFunction:NodeB Function Name=NLF01_39789_LF076_METROPOLE_NEW",Reliable,0.379,0.065,0.034,2.894,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.6,2,19.4
2025-06-24 03:00,60,"GLLF_LF039_GONYELI_4/NodeBFunction:NodeB Function Name=NLF01_39752_LF039_GONYELI_4",Reliable,0.726,0.089,0.22,6.519,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.2,6.2,66.6
2025-06-24 03:00,60,"GLLF_LF049_HAMITKOY_CADDE/NodeBFunction:NodeB Function Name=NLF01_39762_LF049_HAMITKOY_CADDE",Reliable,0.494,0.044,0.077,3.656,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,1,2.4,28.2
2025-06-24 03:00,60,"GLLF_LF015_CIHANGIR/NodeBFunction:NodeB Function Name=NLF01_39728_LF015_CIHANGIR",Reliable,0.387,0.02,0.108,2.473,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.4,1,10.2
2025-06-24 03:00,60,"GLLF_LF078_NAZ_APARTMANI/NodeBFunction:NodeB Function Name=NLF01_39791_LF078_NAZ_APARTMANI",Reliable,0.559,0.073,0.128,4.632,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6,1,15.4
