Result Time,Granularity Period,Object Name,Reliability,"50331748","50331749","50331750","50331751","50331752","50331753","50361697"
,Minutes,,,None,None,None,None,None,None,None
2025-06-24 06:00,60,"GLLF_LF007_ASTRO/ULoCell:NodeB Function Name=NLF01_39720_LF007_ASTRO, Local Cell ID=44533, Cell Name=N/A",Reliable,0.068,0.065,0.068,0.065,1733,1620,
2025-06-24 06:00,60,"GLLF_LF007_ASTRO/ULoCell:NodeB Function Name=NLF01_39720_LF007_ASTRO, Local Cell ID=44532, Cell Name=N/A",Reliable,0.3,0.274,0.3,0.256,0,0,
2025-06-24 06:00,60,"GLLF_LF007_ASTRO/ULoCell:NodeB Function Name=NLF01_39720_LF007_ASTRO, Local Cell ID=44531, Cell Name=N/A",Reliable,0.069,0.06,0.069,0.06,0,0,
2025-06-24 06:00,60,"GLLF_LF020_DEMIRHAN/ULoCell:NodeB Function Name=NLF01_39733_LF020_DEMIRHAN, Local Cell ID=44582, Cell Name=N/A",Reliable,0.126,0.117,0.126,0.117,8,0,
2025-06-24 06:00,60,"GLLF_LF020_DEMIRHAN/ULoCell:NodeB Function Name=NLF01_39733_LF020_DEMIRHAN, Local Cell ID=44583, Cell Name=N/A",Reliable,0.001,0.001,0.001,0.001,0,0,
2025-06-24 06:00,60,"GLLF_LF020_DEMIRHAN/ULoCell:NodeB Function Name=NLF01_39733_LF020_DEMIRHAN, Local Cell ID=44581, Cell Name=N/A",Reliable,0.144,0.129,0.144,0.124,1370,674,
2025-06-24 06:00,60,"GLLF_LF062_LEFKOSA_MERIT/ULoCell:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT, Local Cell ID=43364, Cell Name=N/A",Reliable,0,0,0,0,0,0,
2025-06-24 06:00,60,"GLLF_LF062_LEFKOSA_MERIT/ULoCell:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT, Local Cell ID=43363, Cell Name=N/A",Reliable,0.193,0.186,0.193,0.172,0,0,
2025-06-24 06:00,60,"GLLF_LF062_LEFKOSA_MERIT/ULoCell:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT, Local Cell ID=43362, Cell Name=N/A",Reliable,0.169,0.147,0.169,0.146,0,0,
2025-06-24 06:00,60,"GLLF_LF062_LEFKOSA_MERIT/ULoCell:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT, Local Cell ID=43361, Cell Name=N/A",Reliable,0.237,0.222,0.237,0.217,0,0,
2025-06-24 06:00,60,"GLLF_LF019_DEMIR_MARKET/ULoCell:NodeB Function Name=NLF01_39732_LF019_DEMIR_MARKET, Local Cell ID=45063, Cell Name=N/A",Reliable,0.563,0.515,0.563,0.475,33,7,
2025-06-24 06:00,60,"GLLF_LF019_DEMIR_MARKET/ULoCell:NodeB Function Name=NLF01_39732_LF019_DEMIR_MARKET, Local Cell ID=45062, Cell Name=N/A",Reliable,0.096,0.092,0.096,0.09,0,0,
2025-06-24 06:00,60,"GLLF_LF019_DEMIR_MARKET/ULoCell:NodeB Function Name=NLF01_39732_LF019_DEMIR_MARKET, Local Cell ID=45061, Cell Name=N/A",Reliable,0.281,0.272,0.281,0.271,394,386,
2025-06-24 06:00,60,"GLLF_LF055_ITU_SURLARICI/ULoCell:NodeB Function Name=NLF01_39768_LF055_ITU_SURLARICI, Local Cell ID=47243, Cell Name=N/A",Reliable,0.228,0.213,0.228,0.188,5905,2894,
2025-06-24 06:00,60,"GLLF_LF055_ITU_SURLARICI/ULoCell:NodeB Function Name=NLF01_39768_LF055_ITU_SURLARICI, Local Cell ID=47242, Cell Name=N/A",Reliable,0.013,0.011,0.013,0.011,0,0,
2025-06-24 06:00,60,"GLLF_LF055_ITU_SURLARICI/ULoCell:NodeB Function Name=NLF01_39768_LF055_ITU_SURLARICI, Local Cell ID=47241, Cell Name=N/A",Reliable,0.678,0.624,0.678,0.611,0,0,
2025-06-24 06:00,60,"GLLF_LF058_KERVAN_RESTURANT/ULoCell:NodeB Function Name=NLF01_39771_LF058_KERVAN_RESTURANT, Local Cell ID=46563, Cell Name=N/A",Reliable,0.019,0.019,0.019,0.019,0,0,
2025-06-24 06:00,60,"GLLF_LF058_KERVAN_RESTURANT/ULoCell:NodeB Function Name=NLF01_39771_LF058_KERVAN_RESTURANT, Local Cell ID=46562, Cell Name=N/A",Reliable,0.354,0.349,0.354,0.347,1409,1199,
2025-06-24 06:00,60,"GLLF_LF058_KERVAN_RESTURANT/ULoCell:NodeB Function Name=NLF01_39771_LF058_KERVAN_RESTURANT, Local Cell ID=46561, Cell Name=N/A",Reliable,0.067,0.058,0.067,0.058,0,0,
2025-06-24 06:00,60,"GLLF_LF104_YDU_SAGLIK_BILIMLERI/ULoCell:NodeB Function Name=NLF01_39817_LF104_YDU_SAGLIK_BILIMLERI, Local Cell ID=48381, Cell Name=N/A",Reliable,0,0,0,0,0,0,
2025-06-24 06:00,60,"GLLF_LF104_YDU_SAGLIK_BILIMLERI/ULoCell:NodeB Function Name=NLF01_39817_LF104_YDU_SAGLIK_BILIMLERI, Local Cell ID=46595, Cell Name=N/A",Reliable,0,0,0,0,0,0,
2025-06-24 06:00,60,"GLLF_LF104_YDU_SAGLIK_BILIMLERI/ULoCell:NodeB Function Name=NLF01_39817_LF104_YDU_SAGLIK_BILIMLERI, Local Cell ID=46593, Cell Name=N/A",Reliable,0.01,0.01,0.01,0.01,0,0,
2025-06-24 06:00,60,"GLLF_LF104_YDU_SAGLIK_BILIMLERI/ULoCell:NodeB Function Name=NLF01_39817_LF104_YDU_SAGLIK_BILIMLERI, Local Cell ID=46592, Cell Name=N/A",Reliable,0.001,0,0.001,0,0,0,
