"fragment_date","file_id","line_index","unique_row_code","a","adet_oran12","b","c","c2","d","d2","d4","report_date","sure_oran12"
2025-06-17 00:00:00.000 +0300,"202603101447520021070005","3",bbba7a12-197c-446f-9f44-536fba934bde,117619,96.971,7119,3471858,3415950,26,0,73931,20250617,98.39
2025-06-18 00:00:00.000 +0300,"202603101447520021070015","3",cb63ae0d-baa6-4c1f-afaa-413e1fe4209b,112055,98.393,6194,3441913,3430694,498,0,73448,20250618,99.674
2025-06-19 00:00:00.000 +0300,"202603101447520021070025","3",de7ffd21-16e5-45a6-93ff-3b036a0f5659,112846,98.407,5214,3499459,3487507,576,0,73548,20250619,99.658
2025-06-20 00:00:00.000 +0300,"202603101447520021070035","3",efc5430b-82f2-4425-9e87-94bec4a26509,117277,98.505,5038,3789471,3776623,536,0,77862,20250620,99.661
