"id","flow_id","db_catalog","schema_name","table_name","tablespace_name","table_name_alias","table_name_lookup","table_description","object_key","object_key2","object_type","element_type","node_type","item_type","table_type","sub_table_type","network_type","sub_network_type","data_type","data_interval","time_period","time_delay","need_refresh","is_generated","is_failed","is_active","created_time","created_by","updated_time","updated_by","extra_info","flow_code"
18,158,,pm,t00158n000005,,t158n5,,,cli-resource,,,,,,,,,,,,1,,false,true,false,true,2026-02-27 13:36:22.363 +0300,,2026-02-27 14:39:38.632 +0300,,,
30,158,,pm,t00158n000017,,t158n17,,,in-handler-thy-kpi,,,,,,,,,,,,1,,false,true,false,true,2026-02-27 14:10:10.942 +0300,,2026-02-27 14:39:37.493 +0300,,,
31,158,,pm,t00158n000018,,t158n18,,,in-handler-thy-skey-kpi,,,,,,,,,,,,1,,false,true,false,true,2026-02-27 14:11:18.539 +0300,,2026-02-27 14:39:37.666 +0300,,,
15,158,,pm,t00158n000002,,t158n2,,,cli-notification_notification,,,,,,,,,,,,1,,false,true,false,true,2026-02-27 12:59:34.605 +0300,,2026-02-27 13:04:21.644 +0300,,,
14,158,,pm,t00158n000001,,t158n1,,,cli-api,,,,,,,,,,,,1,,false,true,false,true,2026-02-27 07:02:15.614 +0300,,2026-02-27 07:04:42.442 +0300,,,
57,145,,pm,t00145n000001,,t145n1,,,FTTSDBReport,,,,,,,,,,,,1,,false,true,false,true,2026-03-11 15:02:00.839 +0300,,2026-03-11 15:13:16.803 +0300,,,
73,141,,pm,t00141n000004,,t141n4,,,NESecurityLog_Condition,,,,,,,,,,,,1,,false,true,false,true,2026-03-12 21:37:54.611 +0300,,2026-03-12 22:26:05.542 +0300,,,
71,141,,pm,t00141n000002,,t141n2,,,NELogTable_ConditionNodeb,,,,,,,,,,,,1,,false,true,false,true,2026-03-12 21:37:28.726 +0300,,2026-03-12 22:26:06.024 +0300,,,
72,141,,pm,t00141n000003,,t141n3,,,NELogTable_ConditionRnc,,,,,,,,,,,,1,,false,true,false,true,2026-03-12 21:37:43.186 +0300,,2026-03-12 22:26:06.205 +0300,,,
70,141,,pm,t00141n000001,,t141n1,,,NELogTable_ConditionEnodeb,,,,,,,,,,,,1,,false,true,false,true,2026-03-12 21:37:15.307 +0300,,2026-03-12 22:26:05.813 +0300,,,
10,121,,pm,t00121n000001,,t121n1,,,BSC6910GSMGCELL,,,,,,,,,,,,1,,false,true,false,true,2026-02-21 01:37:35.591 +0300,,2026-02-21 01:54:12.140 +0300,,,
6,111,,pm,t00111n000003,,t111n3,,,"117440512",,UsnFunction,UNC,,,,,,,,,1,,false,true,false,true,2026-02-04 01:28:26.619 +0300,,2026-02-04 01:40:01.248 +0300,,,
4,111,,pm,t00111n000001,,t111n1,,,"1929379844",,pod name,UDG,,,,,,,,,1,,false,true,false,true,2026-02-04 00:10:18.992 +0300,,2026-02-05 22:49:20.017 +0300,,,
8,111,,pm,t00111n000005,,t111n5,,,"1929379843",,Pod Id,UNC,,,,,,,,,1,,false,true,false,true,2026-02-06 14:28:08.275 +0300,,2026-02-06 14:29:22.711 +0300,,,
7,111,,pm,t00111n000004,,t111n4,,,"1929379843",,pod name,UDG,,,,,,,,,1,,false,true,false,true,2026-02-06 14:21:24.469 +0300,,2026-02-06 14:29:22.293 +0300,,,
5,111,,pm,t00111n000002,,t111n2,,,"1929379844",,Pod Id,UNC,,,,,,,,,1,,false,true,false,true,2026-02-04 00:10:36.988 +0300,,2026-02-04 01:40:00.877 +0300,,,
