"id","flow_id","parse_table_id","schema_name","table_name","column_name","object_key","object_key2","object_key_lookup","object_key_description","model_type","column_order_id","column_type","column_length","column_formula","is_default_value","column_default_value","is_column_gen","column_gen_formula","is_column_agg","column_agg_formula","is_active","created_time","created_by","updated_time","updated_by","extra_info","flow_code","measurement_key"
161,111,9,pm,t00111n000001,duration,etlApp.constant.granPeriod_duration,,,,CONSTANT,1,VARCHAR,10,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
162,111,9,pm,t00111n000001,end_time,etlApp.constant.granPeriod_endTime,,,,CONSTANT,2,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
163,111,9,pm,t00111n000001,begin_time,etlApp.constant.measCollec_beginTime,,,,CONSTANT,3,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
164,111,9,pm,t00111n000001,meas_obj_ldn,etlApp.constant.measValue_measObjLdn,,,,CONSTANT,4,VARCHAR,1000,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
165,111,9,pm,t00111n000001,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,5,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
166,111,9,pm,t00111n000001,node_id,etlApp.constant_nodeId,,,,CONSTANT,6,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
167,111,9,pm,t00111n000001,node_name,etlApp.constant_nodeName,,,,CONSTANT,7,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
168,111,9,pm,t00111n000001,file_id,etlApp.info_fileId,,,,INFO,8,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
169,111,9,pm,t00111n000001,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,9,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
170,111,9,pm,t00111n000001,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,INFO,10,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
171,111,9,pm,t00111n000001,pod_name_omc_agent_id,etlApp.measObjLdn_pod name:OMCAgentId,,,,MEASOBJLDN,11,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
172,111,9,pm,t00111n000001,pod_name_pod_id,etlApp.measObjLdn_pod name:Pod Id,,,,MEASOBJLDN,12,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
272,162,16,pm,t00162n000001,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-19 13:52:28.537 +0300,,,,,,
244,111,14,pm,t00111n000004,duration,etlApp.constant.granPeriod_duration,,,,CONSTANT,1,VARCHAR,10,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
245,111,14,pm,t00111n000004,end_time,etlApp.constant.granPeriod_endTime,,,,CONSTANT,2,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
246,111,14,pm,t00111n000004,begin_time,etlApp.constant.measCollec_beginTime,,,,CONSTANT,3,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
247,111,14,pm,t00111n000004,meas_obj_ldn,etlApp.constant.measValue_measObjLdn,,,,CONSTANT,4,VARCHAR,1000,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
248,111,14,pm,t00111n000004,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,5,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
249,111,14,pm,t00111n000004,node_id,etlApp.constant_nodeId,,,,CONSTANT,6,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
250,111,14,pm,t00111n000004,node_name,etlApp.constant_nodeName,,,,CONSTANT,7,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
251,111,14,pm,t00111n000004,file_id,etlApp.info_fileId,,,,INFO,8,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
252,111,14,pm,t00111n000004,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,9,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
253,111,14,pm,t00111n000004,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,INFO,10,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
254,111,14,pm,t00111n000004,pod_name_omc_agent_id,etlApp.measObjLdn_pod name:OMCAgentId,,,,MEASOBJLDN,11,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
255,111,14,pm,t00111n000004,pod_name_pod_id,etlApp.measObjLdn_pod name:Pod Id,,,,MEASOBJLDN,12,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
187,111,11,pm,t00111n000002,duration,etlApp.constant.granPeriod_duration,,,,CONSTANT,1,VARCHAR,10,,false,,false,,,,true,2026-02-05 21:58:40.493 +0300,,,,,,
188,111,11,pm,t00111n000002,end_time,etlApp.constant.granPeriod_endTime,,,,CONSTANT,2,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
189,111,11,pm,t00111n000002,begin_time,etlApp.constant.measCollec_beginTime,,,,CONSTANT,3,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
190,111,11,pm,t00111n000002,meas_obj_ldn,etlApp.constant.measValue_measObjLdn,,,,CONSTANT,4,VARCHAR,1000,,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
191,111,11,pm,t00111n000002,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,5,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
192,111,11,pm,t00111n000002,node_id,etlApp.constant_nodeId,,,,CONSTANT,6,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
193,111,11,pm,t00111n000002,node_name,etlApp.constant_nodeName,,,,CONSTANT,7,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
194,111,11,pm,t00111n000002,file_id,etlApp.info_fileId,,,,INFO,8,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
195,111,11,pm,t00111n000002,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,9,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
196,111,11,pm,t00111n000002,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,INFO,10,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
197,111,11,pm,t00111n000002,pod_id_omc_agent_id,etlApp.measObjLdn_Pod Id:OMCAgentId,,,,MEASOBJLDN,11,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
198,111,11,pm,t00111n000002,pod_id_pod_id,etlApp.measObjLdn_Pod Id:Pod Id,,,,MEASOBJLDN,12,VARCHAR,100,,false,,false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
258,111,15,pm,t00111n000005,duration,etlApp.constant.granPeriod_duration,,,,CONSTANT,1,VARCHAR,10,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
259,111,15,pm,t00111n000005,end_time,etlApp.constant.granPeriod_endTime,,,,CONSTANT,2,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
260,111,15,pm,t00111n000005,begin_time,etlApp.constant.measCollec_beginTime,,,,CONSTANT,3,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
261,111,15,pm,t00111n000005,meas_obj_ldn,etlApp.constant.measValue_measObjLdn,,,,CONSTANT,4,VARCHAR,1000,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
262,111,15,pm,t00111n000005,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,5,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
263,111,15,pm,t00111n000005,node_id,etlApp.constant_nodeId,,,,CONSTANT,6,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
264,111,15,pm,t00111n000005,node_name,etlApp.constant_nodeName,,,,CONSTANT,7,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
265,111,15,pm,t00111n000005,file_id,etlApp.info_fileId,,,,INFO,8,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
266,111,15,pm,t00111n000005,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,9,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
267,111,15,pm,t00111n000005,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,INFO,10,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
199,111,11,pm,t00111n000002,t00111n000002c0013,"1929379844",,,,VARIABLE,13,NUMERIC,,,true,"0",false,,,,true,2026-02-05 21:58:40.494 +0300,,,,,,
257,111,14,pm,t00111n000004,t00111n000004c0014,"1929379850",,,,VARIABLE,14,NUMERIC,,,true,"0",false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
268,111,15,pm,t00111n000005,pod_id_omc_agent_id,etlApp.measObjLdn_Pod Id:OMCAgentId,,,,MEASOBJLDN,11,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
269,111,15,pm,t00111n000005,pod_id_pod_id,etlApp.measObjLdn_Pod Id:Pod Id,,,,MEASOBJLDN,12,VARCHAR,100,,false,,false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
213,111,13,pm,t00111n000003,duration,etlApp.constant.granPeriod_duration,,,,CONSTANT,1,VARCHAR,10,,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
214,111,13,pm,t00111n000003,end_time,etlApp.constant.granPeriod_endTime,,,,CONSTANT,2,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
215,111,13,pm,t00111n000003,begin_time,etlApp.constant.measCollec_beginTime,,,,CONSTANT,3,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
216,111,13,pm,t00111n000003,meas_obj_ldn,etlApp.constant.measValue_measObjLdn,,,,CONSTANT,4,VARCHAR,1000,,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
217,111,13,pm,t00111n000003,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,5,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
218,111,13,pm,t00111n000003,node_id,etlApp.constant_nodeId,,,,CONSTANT,6,VARCHAR,100,,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
219,111,13,pm,t00111n000003,node_name,etlApp.constant_nodeName,,,,CONSTANT,7,VARCHAR,100,,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
220,111,13,pm,t00111n000003,file_id,etlApp.info_fileId,,,,INFO,8,VARCHAR,100,,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
221,111,13,pm,t00111n000003,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,9,VARCHAR,100,,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
222,111,13,pm,t00111n000003,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,INFO,10,VARCHAR,100,,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
223,111,13,pm,t00111n000003,usn_function_omc_agent_id,etlApp.measObjLdn_UsnFunction:OMCAgentId,,,,MEASOBJLDN,11,VARCHAR,100,,false,,false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
273,162,16,pm,t00162n000001,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,false,,false,,,,true,2026-02-19 13:52:28.537 +0300,,,,,,
173,111,9,pm,t00111n000001,t00111n000001c0013,"1929379844",,,,VARIABLE,13,NUMERIC,,,true,"0",false,,,,true,2026-02-05 21:48:33.269 +0300,,,,,,
256,111,14,pm,t00111n000004,t00111n000004c0013,"1929379843",,,,VARIABLE,13,NUMERIC,,,true,"0",false,,,,true,2026-02-06 14:24:39.312 +0300,,,,,,
270,111,15,pm,t00111n000005,t00111n000005c0013,"1929379843",,,,VARIABLE,13,NUMERIC,,,true,"0",false,,,,true,2026-02-06 14:28:20.651 +0300,,,,,,
224,111,13,pm,t00111n000003,t00111n000003c0012,"117450613",,,,VARIABLE,12,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
225,111,13,pm,t00111n000003,t00111n000003c0013,"117450614",,,,VARIABLE,13,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
226,111,13,pm,t00111n000003,t00111n000003c0014,"117450615",,,,VARIABLE,14,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
227,111,13,pm,t00111n000003,t00111n000003c0015,"117450616",,,,VARIABLE,15,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
228,111,13,pm,t00111n000003,t00111n000003c0016,"117450617",,,,VARIABLE,16,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
229,111,13,pm,t00111n000003,t00111n000003c0017,"117450618",,,,VARIABLE,17,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
230,111,13,pm,t00111n000003,t00111n000003c0018,"117450619",,,,VARIABLE,18,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
231,111,13,pm,t00111n000003,t00111n000003c0019,"117450620",,,,VARIABLE,19,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
232,111,13,pm,t00111n000003,t00111n000003c0020,"117450621",,,,VARIABLE,20,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
233,111,13,pm,t00111n000003,t00111n000003c0021,"117450622",,,,VARIABLE,21,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
234,111,13,pm,t00111n000003,t00111n000003c0022,"117450623",,,,VARIABLE,22,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
235,111,13,pm,t00111n000003,t00111n000003c0023,"117450624",,,,VARIABLE,23,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
236,111,13,pm,t00111n000003,t00111n000003c0024,"117450625",,,,VARIABLE,24,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
237,111,13,pm,t00111n000003,t00111n000003c0025,"117450626",,,,VARIABLE,25,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
238,111,13,pm,t00111n000003,t00111n000003c0026,"117450627",,,,VARIABLE,26,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
239,111,13,pm,t00111n000003,t00111n000003c0027,"117450628",,,,VARIABLE,27,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
240,111,13,pm,t00111n000003,t00111n000003c0028,"117450629",,,,VARIABLE,28,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
241,111,13,pm,t00111n000003,t00111n000003c0029,"117450630",,,,VARIABLE,29,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
242,111,13,pm,t00111n000003,t00111n000003c0030,"117450631",,,,VARIABLE,30,NUMERIC,,,true,"0",false,,,,true,2026-02-05 22:19:46.316 +0300,,,,,,
