"id","company_id","domain_id","organisation_id","vendor_id","unit_id","branch_id","flow_id","element_type","counter_group_type","counter_group_key","counter_key","model_type","counter_group_lookup","counter_lookup","counter_group_description","counter_description","is_active","created_time","created_by","updated_time","updated_by","extra_info"
36785,13,12,11,11,119,149,171,,,"50331648",Result Time,CONSTANT,,,,,true,2026-03-11 14:49:52.259 +0300,,,,
36655,13,12,11,11,119,149,171,,,"50331649","50332675",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36656,13,12,11,11,119,149,171,,,"50331649","50332674",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36657,13,12,11,11,119,149,171,,,"50331648","50341716",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36658,13,12,11,11,119,149,171,,,"50331649","50332677",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36659,13,12,11,11,119,149,171,,,"50331648","50341717",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36660,13,12,11,11,119,149,171,,,"50331649","50332676",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36661,13,12,11,11,119,149,171,,,"50331648","50341714",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36662,13,12,11,11,119,149,171,,,"50331649","50332679",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36663,13,12,11,11,119,149,171,,,"50331648","50341715",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36664,13,12,11,11,119,149,171,,,"50331649","50332678",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36665,13,12,11,11,119,149,171,,,"50331648","50341712",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36666,13,12,11,11,119,149,171,,,"50331648","50341713",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36667,13,12,11,11,119,149,171,,,"50331649",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36668,13,12,11,11,119,149,171,,,"50331649","50332673",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36669,13,12,11,11,119,149,171,,,"50331648","50341722",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36670,13,12,11,11,119,149,171,,,"50331648","50341707",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36671,13,12,11,11,119,149,171,,,"50331649","50332686",VARIABLE,,,,,true,2026-03-11 14:49:52.257 +0300,,,,
36672,13,12,11,11,119,149,171,,,"50331648","50341708",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36673,13,12,11,11,119,149,171,,,"50331649","50332685",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36674,13,12,11,11,119,149,171,,,"50331648","50341705",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36675,13,12,11,11,119,149,171,,,"50331649","50332688",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36676,13,12,11,11,119,149,171,,,"50331648","50341706",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36677,13,12,11,11,119,149,171,,,"50331649","50332687",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36678,13,12,11,11,119,149,171,,,"50331648","50341703",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36679,13,12,11,11,119,149,171,,,"50331648","50332216",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36680,13,12,11,11,119,149,171,,,"50331648","50341704",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36681,13,12,11,11,119,149,171,,,"50331648","50332215",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36682,13,12,11,11,119,149,171,,,"50331649","50332689",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36683,13,12,11,11,119,149,171,,,"50331648","50341701",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36684,13,12,11,11,119,149,171,,,"50331648","50341702",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36685,13,12,11,11,119,149,171,,,"50331648","50331800",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36686,13,12,11,11,119,149,171,,,"50331648","50332217",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
36687,13,12,11,11,119,149,171,,,"50331649","50332680",VARIABLE,,,,,true,2026-03-11 14:49:52.258 +0300,,,,
