"id","flow_id","parse_table_id","schema_name","table_name","column_name","object_key","object_key2","object_key_lookup","object_key_description","model_type","column_order_id","column_type","column_length","column_formula","is_default_value","column_default_value","is_column_gen","column_gen_formula","is_column_agg","column_agg_formula","is_active","created_time","created_by","updated_time","updated_by","extra_info","flow_code","measurement_key"
1281,164,75,pm,t00164n000008,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,,true,,false,,,,true,,,,,,,
1309,164,77,pm,t00164n000010,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,,true,,false,,,,true,,,,,,,
1325,164,78,pm,t00164n000011,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,,true,,false,,,,true,,,,,,,
1225,164,70,pm,t00164n000003,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,,true,,false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1253,164,72,pm,t00164n000005,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,,true,,false,,,,true,,,,,,,
1239,164,71,pm,t00164n000004,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,,true,,false,,,,true,,,,,,,
1132,164,64,pm,t00164n000001,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,true,"",false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1211,164,69,pm,t00164n000002,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,yyyy-mm-dd hh24:miZ,true,"",false,,,,true,2026-03-09 17:03:53.238 +0300,,,,,,
1267,164,74,pm,t00164n000007,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,,true,,false,,,,true,,,,,,,
1295,164,76,pm,t00164n000009,fragment_date,etlApp.constant_fragmentDate,,,,CONSTANT,1,TIMESTAMPTZ,,,true,,false,,,,true,,,,,,,
1254,164,72,pm,t00164n000005,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,,false,,,,true,,,,,,,
1326,164,78,pm,t00164n000011,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,,false,,,,true,,,,,,,
1310,164,77,pm,t00164n000010,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,,false,,,,true,,,,,,,
1240,164,71,pm,t00164n000004,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,,false,,,,true,,,,,,,
1212,164,69,pm,t00164n000002,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,"",false,,,,true,2026-03-09 17:03:53.238 +0300,,,,,,
1226,164,70,pm,t00164n000003,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,,false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1133,164,64,pm,t00164n000001,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,"",false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1268,164,74,pm,t00164n000007,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,,false,,,,true,,,,,,,
1296,164,76,pm,t00164n000009,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,,false,,,,true,,,,,,,
1282,164,75,pm,t00164n000008,file_id,etlApp.info_fileId,,,,INFO,2,VARCHAR,100,,true,,false,,,,true,,,,,,,
1269,164,74,pm,t00164n000007,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,,false,,,,true,,,,,,,
1241,164,71,pm,t00164n000004,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,,false,,,,true,,,,,,,
1283,164,75,pm,t00164n000008,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,,false,,,,true,,,,,,,
1297,164,76,pm,t00164n000009,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,,false,,,,true,,,,,,,
1327,164,78,pm,t00164n000011,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,,false,,,,true,,,,,,,
1134,164,64,pm,t00164n000001,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,"",false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1255,164,72,pm,t00164n000005,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,,false,,,,true,,,,,,,
1311,164,77,pm,t00164n000010,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,,false,,,,true,,,,,,,
1227,164,70,pm,t00164n000003,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,,false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1213,164,69,pm,t00164n000002,line_index,etlApp.info_lineIndex,,,,INFO,3,VARCHAR,,,true,"",false,,,,true,2026-03-09 17:03:53.238 +0300,,,,,,
1135,164,64,pm,t00164n000001,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,"",false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1270,164,74,pm,t00164n000007,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,,false,,,,true,,,,,,,
1214,164,69,pm,t00164n000002,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,"",false,,,,true,2026-03-09 17:03:53.238 +0300,,,,,,
1328,164,78,pm,t00164n000011,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,,false,,,,true,,,,,,,
1284,164,75,pm,t00164n000008,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,,false,,,,true,,,,,,,
1312,164,77,pm,t00164n000010,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,,false,,,,true,,,,,,,
1298,164,76,pm,t00164n000009,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,,false,,,,true,,,,,,,
1242,164,71,pm,t00164n000004,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,,false,,,,true,,,,,,,
1256,164,72,pm,t00164n000005,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,,false,,,,true,,,,,,,
1228,164,70,pm,t00164n000003,unique_row_code,etlApp.info_uniqueRowCode,,,,INFO,4,VARCHAR,100,,true,,false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1215,164,69,pm,t00164n000002,a,A,,,,VARIABLE,5,NUMERIC,,,true,"",false,,,,true,2026-03-09 17:03:53.238 +0300,,,,,,
1313,164,77,pm,t00164n000010,between_10_11,BETWEEN_10_11,,,,VARIABLE,5,NUMERIC,,,true,,false,,,,true,,,,,,,
1229,164,70,pm,t00164n000003,a,A,,,,VARIABLE,5,NUMERIC,,,true,,false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1136,164,64,pm,t00164n000001,between_10_11,BETWEEN_10_11,,,,VARIABLE,5,NUMERIC,,,true,"",false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1243,164,71,pm,t00164n000004,a,A,,,,VARIABLE,5,NUMERIC,,,true,,false,,,,true,,,,,,,
1299,164,76,pm,t00164n000009,a,A,,,,VARIABLE,5,NUMERIC,,,true,,false,,,,true,,,,,,,
1285,164,75,pm,t00164n000008,a,A,,,,VARIABLE,5,NUMERIC,,,true,,false,,,,true,,,,,,,
1271,164,74,pm,t00164n000007,a,A,,,,VARIABLE,5,NUMERIC,,,true,,false,,,,true,,,,,,,
1257,164,72,pm,t00164n000005,a,A,,,,VARIABLE,5,NUMERIC,,,true,,false,,,,true,,,,,,,
1329,164,78,pm,t00164n000011,a,A,,,,VARIABLE,5,NUMERIC,,,true,,false,,,,true,,,,,,,
1258,164,72,pm,t00164n000005,adet_oran15,ADET_ORAN15,,,,VARIABLE,6,NUMERIC,,,true,,false,,,,true,,,,,,,
1330,164,78,pm,t00164n000011,adet_oran12,ADET_ORAN12,,,,VARIABLE,6,NUMERIC,,,true,,false,,,,true,,,,,,,
1216,164,69,pm,t00164n000002,adet_oran12,ADET_ORAN12,,,,VARIABLE,6,NUMERIC,,,true,"",false,,,,true,2026-03-09 17:03:53.238 +0300,,,,,,
1272,164,74,pm,t00164n000007,adet_oran12,ADET_ORAN12,,,,VARIABLE,6,NUMERIC,,,true,,false,,,,true,,,,,,,
1300,164,76,pm,t00164n000009,adet_oran15,ADET_ORAN15,,,,VARIABLE,6,NUMERIC,,,true,,false,,,,true,,,,,,,
1230,164,70,pm,t00164n000003,adet_oran12,ADET_ORAN12,,,,VARIABLE,6,NUMERIC,,,true,,false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1314,164,77,pm,t00164n000010,between_11_12,BETWEEN_11_12,,,,VARIABLE,6,NUMERIC,,,true,,false,,,,true,,,,,,,
1286,164,75,pm,t00164n000008,adet_oran15,ADET_ORAN15,,,,VARIABLE,6,NUMERIC,,,true,,false,,,,true,,,,,,,
1244,164,71,pm,t00164n000004,adet_oran15,ADET_ORAN15,,,,VARIABLE,6,NUMERIC,,,true,,false,,,,true,,,,,,,
1137,164,64,pm,t00164n000001,between_11_12,BETWEEN_11_12,,,,VARIABLE,6,NUMERIC,,,true,"",false,,,,true,2026-03-05 16:15:48.416 +0300,,,,,,
1301,164,76,pm,t00164n000009,b,B,,,,VARIABLE,7,NUMERIC,,,true,,false,,,,true,,,,,,,
1287,164,75,pm,t00164n000008,b,B,,,,VARIABLE,7,NUMERIC,,,true,,false,,,,true,,,,,,,
1273,164,74,pm,t00164n000007,b,B,,,,VARIABLE,7,NUMERIC,,,true,,false,,,,true,,,,,,,
1217,164,69,pm,t00164n000002,b,B,,,,VARIABLE,7,NUMERIC,,,true,"",false,,,,true,2026-03-09 17:03:53.238 +0300,,,,,,
1245,164,71,pm,t00164n000004,b,B,,,,VARIABLE,7,NUMERIC,,,true,,false,,,,true,,,,,,,
