"id","remote_path","is_active","created_time","created_by","updated_time","updated_by","extra_info"
1126,/etl/vodafone/10.122.206.116/opt/backup/ftpboot/hfs_public/trans/var/dump/RTNLinkDumpForTools/,true,,,,,
1127,/etl/vodafone/10.122.208.10/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1128,/etl/vodafone/10.122.208.10/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1129,/etl/vodafone/10.122.208.11/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1130,/etl/vodafone/10.122.208.11/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1131,/etl/vodafone/10.122.208.12/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1132,/etl/vodafone/10.122.208.12/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1133,/etl/vodafone/10.122.208.13/CME_ConfigurationReport_Task/32260/,true,,,,,
1134,/etl/vodafone/10.122.208.13/ftproot/2G_TRX/,true,,,,,
1135,/etl/vodafone/10.122.208.13/ftproot/btk/,true,,,,,
1136,/etl/vodafone/10.122.208.13/ftproot/TTGReport/,true,,,,,
1137,/etl/vodafone/10.122.208.13/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1138,/etl/vodafone/10.122.208.135/ftproot/2G_TRX/,true,,,,,
1139,/etl/vodafone/10.122.208.135/ftproot/ABID/,true,,,,,
1140,/etl/vodafone/10.122.208.135/ftproot/btk/,true,,,,,
1141,/etl/vodafone/10.122.208.135/ftproot/TTGReport/,true,,,,,
1142,/etl/vodafone/10.122.208.135/opt/oss/server/var/fileint/cm/autoExport/,true,,,,,
1143,/etl/vodafone/10.122.208.135/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1144,/etl/vodafone/10.122.208.135/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1145,/etl/vodafone/10.122.208.136/ftproot/2G_TRX/,true,,,,,
1146,/etl/vodafone/10.122.208.136/ftproot/btk/,true,,,,,
1147,/etl/vodafone/10.122.208.136/ftproot/TTGReport/,true,,,,,
1148,/etl/vodafone/10.122.208.136/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1149,/etl/vodafone/10.122.208.137/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1150,/etl/vodafone/10.122.208.137/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1151,/etl/vodafone/10.122.208.138/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1152,/etl/vodafone/10.122.208.138/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1153,/etl/vodafone/10.122.208.139/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1154,/etl/vodafone/10.122.208.139/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1155,/etl/vodafone/10.122.208.14/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1156,/etl/vodafone/10.122.208.14/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1157,/etl/vodafone/10.122.208.140/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1158,/etl/vodafone/10.122.208.140/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1159,/etl/vodafone/10.122.208.141/CME_ConfigurationReport_Task/34328/,true,,,,,
1160,/etl/vodafone/10.122.208.141/ftproot/2G_TRX/,true,,,,,
1161,/etl/vodafone/10.122.208.141/ftproot/btk/,true,,,,,
1162,/etl/vodafone/10.122.208.141/ftproot/TTGReport/,true,,,,,
1163,/etl/vodafone/10.122.208.141/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1164,/etl/vodafone/10.122.208.142/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1165,/etl/vodafone/10.122.208.142/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1166,/etl/vodafone/10.122.208.143/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1167,/etl/vodafone/10.122.208.143/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1168,/etl/vodafone/10.122.208.144/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1169,/etl/vodafone/10.122.208.144/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1170,/etl/vodafone/10.122.208.145/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1171,/etl/vodafone/10.122.208.145/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1172,/etl/vodafone/10.122.208.146/ftproot/2G_TRX/,true,,,,,
1173,/etl/vodafone/10.122.208.146/ftproot/btk/,true,,,,,
1174,/etl/vodafone/10.122.208.146/ftproot/TTGReport/,true,,,,,
1175,/etl/vodafone/10.122.208.146/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1176,/etl/vodafone/10.122.208.15/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1177,/etl/vodafone/10.122.208.15/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1178,/etl/vodafone/10.122.208.151/export/home/omc/var/fileint/fm/,true,,,,,
1179,/etl/vodafone/10.122.208.16/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1180,/etl/vodafone/10.122.208.16/opt/oss/server/var/fileint/pmneexport/,true,,,,,
