"id","branch_id","flow_code","root_manager_id","active_manager_id","depend_flow_id","flow_status","flow_cron","flow_info","is_movable","is_active","created_time","created_by","updated_time","updated_by","extra_info","manager_id"
129,117,VF_TR_D_HW_ENB-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.433 +0300,FlowFailoverScheduler,VODAFONE HW4G PM,
184,,VF_TR_D_HW_ENB_CM,,,,STOPPED,* * * * * * | 5 * * * * *,,,true,2026-02-23 17:54:15.430 +0300,system,2026-02-23 17:54:15.430 +0300,system,for test..,
185,,VF_TR_D_HW_ENB_PM,,,,STOPPED,* * * * * * | 5 * * * * *,,,true,2026-02-23 17:54:16.334 +0300,system,2026-02-23 17:54:16.334 +0300,system,for test..,
120,114,VF_TR_D_HW_BSC-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.436 +0300,FlowFailoverScheduler,VODAFONE HW2G PM,
179,152,VF_NC_D_HW_GNB-CM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.436 +0300,FlowFailoverScheduler,KKTC-TELSIM HW5G CM,
178,152,VF_NC_D_HW_GNB-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.435 +0300,FlowFailoverScheduler,KKTC-TELSIM HW5G PM,
181,154,VF_NC_D_HW_MW_REPORT-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.436 +0300,FlowFailoverScheduler,KKTC-TELSIM MW PM,
114,112,VF_TR_D_HW_IMS-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.436 +0300,FlowFailoverScheduler,VODAFONE IMS PM,
111,111,VF_TR_D_HW_CS-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.436 +0300,FlowFailoverScheduler,VODAFONE HWCS PM,
122,114,VF_TR_D_HW_BSC-CONF,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.437 +0300,FlowFailoverScheduler,VODAFONE HW2G-CONF CM,
121,114,VF_TR_D_HW_BSC-CM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.437 +0300,FlowFailoverScheduler,VODAFONE HW2G CM,
123,115,VF_TR_D_HW_NB-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.437 +0300,FlowFailoverScheduler,VODAFONE HW3G-LOCALCELL PM,
125,115,VF_TR_D_HW_NB-CONF,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.437 +0300,FlowFailoverScheduler,VODAFONE HW3G-SITECONFIG CM,
134,118,VF_TR_D_HW_GNB-CONF,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.437 +0300,FlowFailoverScheduler,componentId-141,
172,149,VF_NC_D_HW_NB-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.437 +0300,FlowFailoverScheduler,componentId-130,
143,127,VF_TR_D_HW_WDM-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.438 +0300,FlowFailoverScheduler,VODAFONE WDM PM,
163,144,VF_TR_D_OTH_TWAMP_NNI-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.441 +0300,FlowFailoverScheduler,VODAFONE TWAMP PM,
158,140,VF_TR_D_DF_CLI-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.439 +0300,FlowFailoverScheduler,VODAFONE DEFNE_CLI PM,
144,128,VF_TR_D_HW_ABID-CM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.438 +0300,FlowFailoverScheduler,VODAFONE ABID CM,
161,143,VF_TR_D_OTH_TWAMP-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.440 +0300,FlowFailoverScheduler,VODAFONE TWAMP PM,
141,125,VF_TR_D_HW_LOGS_NE-CONF,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.438 +0300,FlowFailoverScheduler,VODAFONE CONFLOGS CM,
149,133,VF_TR_D_ER_DRA-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.439 +0300,FlowFailoverScheduler,VODAFONE DRA PM,
155,138,VF_TR_D_UL_ENB-CM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.439 +0300,FlowFailoverScheduler,VODAFONE ULAK4G CM,
165,146,VF_NC_D_HW_CS-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.441 +0300,FlowFailoverScheduler,KKTC-TELSIM HWCS PM,
152,136,VF_TR_D_ER_STP-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.439 +0300,FlowFailoverScheduler,VODAFONE STP PM,
145,129,VF_TR_D_HW_FTTS-CM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.438 +0300,FlowFailoverScheduler,VODAFONE FTTS CM,
146,130,VF_TR_D_HW_RAN-FM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.438 +0300,FlowFailoverScheduler,VODAFONE HWU2020-ALARM PM,
154,138,VF_TR_D_UL_ENB-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.439 +0300,FlowFailoverScheduler,VODAFONE ULAK4G PM,
153,137,VF_TR_D_NK_CS-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.439 +0300,FlowFailoverScheduler,VODAFONE NCORE PM,
160,142,VF_TR_D_HPE_ON_KPI-CM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.440 +0300,FlowFailoverScheduler,VODAFONE HP-KPI CM,
162,143,VF_TR_D_OTH_TWAMP-CM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.441 +0300,FlowFailoverScheduler,VODAFONE TWAMP CM,
164,145,VF_TR_D_OTH_VAS-PM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.441 +0300,FlowFailoverScheduler,VODAFONE VAS PM,
159,141,VF_TR_D_HPE_ON-CM,2,2,,TRIGGERED,"0 * * * * *",,true,true,,true,2026-02-23 18:02:00.440 +0300,FlowFailoverScheduler,VODAFONE HP CM,
