"id","flow_id","all_table_id","schema_name","table_name","column_name","object_key","object_key2","column_name_lookup","column_description","column_order_id","column_type","column_formula","column_length","model_type","is_column_gen","column_gen_formula","is_column_agg","column_agg_formula","need_refresh","is_generated","is_failed","is_active","created_time","created_by","updated_time","updated_by","extra_info","flow_code"
92,111,6,pm,t00111n000003,node_name,etlApp.constant_nodeName,,,,7,VARCHAR,,100,CONSTANT,false,,false,,false,true,false,true,2026-02-04 01:28:26.779 +0300,,2026-02-04 01:40:01.316 +0300,,,
93,111,6,pm,t00111n000003,file_id,etlApp.info_fileId,,,,8,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-04 01:28:26.779 +0300,,2026-02-04 01:40:01.316 +0300,,,
94,111,6,pm,t00111n000003,unique_row_code,etlApp.info_uniqueRowCode,,,,9,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-04 01:28:26.779 +0300,,2026-02-04 01:40:01.316 +0300,,,
95,111,6,pm,t00111n000003,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,10,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-04 01:28:26.779 +0300,,2026-02-04 01:40:01.316 +0300,,,
96,111,6,pm,t00111n000003,usn_function_omc_agent_id,etlApp.measObjLdn_UsnFunction:OMCAgentId,,,,11,VARCHAR,,100,MEASOBJLDN,false,,false,,false,true,false,true,2026-02-04 01:28:26.779 +0300,,2026-02-04 01:40:01.316 +0300,,,
97,111,6,pm,t00111n000003,t00111n000003c0012,"117450613",,,,12,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.779 +0300,,2026-02-04 01:40:01.316 +0300,,,
134,111,8,pm,t00111n000005,meas_obj_ldn,etlApp.constant.measValue_measObjLdn,,,,4,VARCHAR,,1000,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
135,111,8,pm,t00111n000005,fragment_date,etlApp.constant_fragmentDate,,,,5,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
136,111,8,pm,t00111n000005,node_id,etlApp.constant_nodeId,,,,6,VARCHAR,,100,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
137,111,8,pm,t00111n000005,node_name,etlApp.constant_nodeName,,,,7,VARCHAR,,100,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
138,111,8,pm,t00111n000005,file_id,etlApp.info_fileId,,,,8,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
139,111,8,pm,t00111n000005,unique_row_code,etlApp.info_uniqueRowCode,,,,9,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
145,162,9,pm,t00162n000001,fragment_date,etlApp.constant_fragmentDate,,,,1,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-19 13:44:10.072 +0300,,2026-02-19 14:49:29.190 +0300,,,
146,162,9,pm,t00162n000001,file_id,etlApp.info_fileId,,,,2,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-19 13:44:10.072 +0300,,2026-02-19 14:49:29.190 +0300,,,
147,162,9,pm,t00162n000001,line_index,etlApp.info_lineIndex,,,,3,VARCHAR,,,INFO,false,,false,,false,true,false,true,2026-02-19 13:44:10.072 +0300,,2026-02-19 14:49:29.190 +0300,,,
148,162,9,pm,t00162n000001,unique_row_code,etlApp.info_uniqueRowCode,,,,4,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-19 13:44:10.072 +0300,,2026-02-19 14:49:29.190 +0300,,,
341,158,21,pm,t00158n000008,rehome_matched_resp_count,REHOME_MATCHED_RESP_COUNT,,,,10,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 13:43:31.639 +0300,,2026-02-27 14:39:39.118 +0300,,,
373,158,22,pm,t00158n000009,zone_default_resp_count,ZONE_DEFAULT_RESP_COUNT,,,,21,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 13:44:40.700 +0300,,2026-02-27 14:39:39.255 +0300,,,
734,164,41,pm,t00164n000001,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,17,VARCHAR,,,INFO,false,,false,,false,true,false,true,2026-03-05 14:33:04.578 +0300,,2026-03-05 14:33:04.578 +0300,,,
242,158,15,pm,t00158n000002,fragment_date,etlApp.constant_fragmentDate,,,,1,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-27 12:59:34.704 +0300,,2026-02-27 13:04:21.947 +0300,,,
243,158,15,pm,t00158n000002,file_id,etlApp.info_fileId,,,,2,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-27 12:59:34.704 +0300,,2026-02-27 13:04:21.947 +0300,,,
85,111,5,pm,t00111n000002,t00111n000002c0013,"1929379844",,,,13,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 00:10:37.125 +0300,,2026-02-04 01:40:00.944 +0300,,,
98,111,6,pm,t00111n000003,t00111n000003c0013,"117450614",,,,13,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
99,111,6,pm,t00111n000003,t00111n000003c0014,"117450615",,,,14,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
100,111,6,pm,t00111n000003,t00111n000003c0015,"117450616",,,,15,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
101,111,6,pm,t00111n000003,t00111n000003c0016,"117450617",,,,16,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
102,111,6,pm,t00111n000003,t00111n000003c0017,"117450618",,,,17,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
103,111,6,pm,t00111n000003,t00111n000003c0018,"117450619",,,,18,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
104,111,6,pm,t00111n000003,t00111n000003c0019,"117450620",,,,19,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
105,111,6,pm,t00111n000003,t00111n000003c0020,"117450621",,,,20,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
106,111,6,pm,t00111n000003,t00111n000003c0021,"117450622",,,,21,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
107,111,6,pm,t00111n000003,t00111n000003c0022,"117450623",,,,22,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
108,111,6,pm,t00111n000003,t00111n000003c0023,"117450624",,,,23,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
109,111,6,pm,t00111n000003,t00111n000003c0024,"117450625",,,,24,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
110,111,6,pm,t00111n000003,t00111n000003c0025,"117450626",,,,25,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
111,111,6,pm,t00111n000003,t00111n000003c0026,"117450627",,,,26,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
112,111,6,pm,t00111n000003,t00111n000003c0027,"117450628",,,,27,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
113,111,6,pm,t00111n000003,t00111n000003c0028,"117450629",,,,28,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
114,111,6,pm,t00111n000003,t00111n000003c0029,"117450630",,,,29,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
115,111,6,pm,t00111n000003,t00111n000003c0030,"117450631",,,,30,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
