"id","company_id","domain_id","organisation_id","vendor_id","unit_id","branch_id","flow_id","element_type","counter_group_type","counter_group_key","counter_key","model_type","counter_group_lookup","counter_lookup","counter_group_description","counter_description","is_active","created_time","created_by","updated_time","updated_by","extra_info"
13885,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455468","1929511597",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13886,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455468","1929511596",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13887,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455468","1929511599",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
6953,13,11,11,11,111,111,111,UNC,APN,"1929469390",etlApp.constant_fragmentDate,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
6954,13,11,11,11,111,111,111,UDG,Node Name,"1914307051",etlApp.measObjLdn_Node Name:GroupType,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
6957,13,11,11,11,111,111,111,UDG,CSDB ChildInstance,"1908015360",etlApp.info_uniqueRowHashCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
6963,13,11,11,11,111,111,111,vePDG,Whole System,"1909653522",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
6975,13,11,11,11,111,111,111,UDG,Node Name,"1914307050",etlApp.measObjLdn_Node Name:GroupType,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
6987,13,11,11,11,111,111,111,vePDG,Whole System,"1909653523",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
6995,13,11,11,11,111,111,111,UDG,Node Name,"1914306951",etlApp.measObjLdn_Node Name:GroupType,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7007,13,11,11,11,111,111,111,vePDG,VNRS function,"1907953675",etlApp.constant.granPeriod_duration,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18300,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480386","1929480915",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18301,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480386","1929480912",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7009,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929457437",etlApp.constant.measValue_measObjLdn,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18302,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491531",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7010,13,11,11,11,111,111,111,UNC,MCC,"1929457465",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18303,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491532",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7011,13,11,11,11,111,111,111,UDG,VNRS Resource Unit,"1907953686",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18304,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480386","1929480913",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7014,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929457438",etlApp.constant.measValue_measObjLdn,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18305,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491533",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18307,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480386","1929480910",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18308,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491534",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7016,13,11,11,11,111,111,111,UDG,Pod Name,"1914307041",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7017,13,11,11,11,111,111,111,UDG,Pod Name,"1914306984",etlApp.constant.measCollec_beginTime,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18311,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480386","1929480911",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7018,13,11,11,11,111,111,111,UDG,VNRS Resource Unit,"1907953687",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7029,13,11,11,11,111,111,111,UDG,Pod Name,"1914307042",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7030,13,11,11,11,111,111,111,UDG,Node Name,"1914307059",etlApp.measObjLdn_Node Name:GroupType,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7035,13,11,11,11,111,111,111,UNC,PCSCF IP,"1929455472",etlApp.measObjLdn_PCSCF IP,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
