"id","unit_id","branch_id","flow_id","node_id","node_parent_id","node_code","node_name","node_name_lookup","node_ip","node_port","node_version","node_type","sub_network","file_format_version","vendor_name","dc","file_type","node_manager","node_manager_name","source_ip","source_connection_id","source_path","source_file_format","source_time_period","source_starts_with","source_contains","source_ends_with","source_last_modified_time","primary_source_ip","primary_source_connection_id","primary_source_path","primary_source_file_format","primary_source_time_period","primary_source_starts_with","primary_source_contains","primary_source_ends_with","primary_source_last_modified_time","secondary_source_ip","secondary_source_connection_id","secondary_source_path","secondary_source_file_format","secondary_source_time_period","secondary_source_starts_with","secondary_source_contains","secondary_source_ends_with","secondary_source_last_modified_time","is_active","created_time","created_by","updated_time","updated_by","extra_info"
254,121,117,130,,,SRMG_MG052_TATLISU_BELEDIYE,SRMG_MG052_TATLISU_BELEDIYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
255,121,117,130,,,SRMG_MG059_VADILI,SRMG_MG059_VADILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
256,121,138,154,,,EN08_49501_03336_Murgul_ULAK,EN08_49501_03336_Murgul_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
257,121,138,154,,,EN08_49504_03339_Borcka_Muratli_ULAK,EN08_49504_03339_Borcka_Muratli_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
258,121,138,154,,,EN08_49524_A3340_Ardanuc_Tepeduzu_ULAK,EN08_49524_A3340_Ardanuc_Tepeduzu_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
259,121,138,154,,,EN08_49542_B3332_MURGUL_DAMAR_ULAK,EN08_49542_B3332_MURGUL_DAMAR_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
260,121,138,154,,,EN08_49572_K9090_ARHAVI_SU_DEPOSU_ULAK_SE,EN08_49572_K9090_ARHAVI_SU_DEPOSU_ULAK_SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
261,121,138,154,,,EN08_49583_M2379_Artvin_Sehitlik_ULAK,EN08_49583_M2379_Artvin_Sehitlik_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
262,121,138,154,,,EN08_49601_M2415_BORCKA_FINDIKLI_ULAK,EN08_49601_M2415_BORCKA_FINDIKLI_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
263,121,138,154,,,EN36_43704_04938_HALIKISLAK_VIP2_ULAK,EN36_43704_04938_HALIKISLAK_VIP2_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
